GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,IFC001
"G0500350","2010","3","7","Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,"32820","99999","999",,,,,,,,,,,,,,"Crittenden County",,21489
"G0500370","2010","3","7","Arkansas","05","Cross County","037",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cross County",,7853
"G0500390","2010","3","7","Arkansas","05","Dallas County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Dallas County",,4305
"G0500410","2010","3","7","Arkansas","05","Desha County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Desha County",,6261
"G0500430","2010","3","7","Arkansas","05","Drew County","043",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Drew County",,8408
"G0500450","2010","3","7","Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,,,"Faulkner County",,46612
"G0500470","2010","3","7","Arkansas","05","Franklin County","047",,,,,,,,,,,,,,"22900","99999","999",,,,,,,,,,,,,,"Franklin County",,8021
"G0500490","2010","3","7","Arkansas","05","Fulton County","049",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fulton County",,6778
"G0500510","2010","3","7","Arkansas","05","Garland County","051",,,,,,,,,,,,,,"26300","99999","999",,,,,,,,,,,,,,"Garland County",,50548
"G0500530","2010","3","7","Arkansas","05","Grant County","053",,,,,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,,,"Grant County",,7758
"G0500550","2010","3","7","Arkansas","05","Greene County","055",,,,,,,,,,,,,,"37500","99999","308",,,,,,,,,,,,,,"Greene County",,17892
"G0500570","2010","3","7","Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,"26260","99999","999",,,,,,,,,,,,,,"Hempstead County",,10419
"G0500590","2010","3","7","Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hot Spring County",,14332
"G0500610","2010","3","7","Arkansas","05","Howard County","061",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Howard County",,6238
"G0500630","2010","3","7","Arkansas","05","Independence County","063",,,,,,,,,,,,,,"12900","99999","999",,,,,,,,,,,,,,"Independence County",,16187
"G0500650","2010","3","7","Arkansas","05","Izard County","065",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Izard County",,7232
"G0500670","2010","3","7","Arkansas","05","Jackson County","067",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Jackson County",,7601
"G0500690","2010","3","7","Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,,,"Jefferson County",,33006
"G0500710","2010","3","7","Arkansas","05","Johnson County","071",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Johnson County",,11311
"G0500730","2010","3","7","Arkansas","05","Lafayette County","073",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lafayette County",,4353
"G0500750","2010","3","7","Arkansas","05","Lawrence County","075",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lawrence County",,8000
"G0500770","2010","3","7","Arkansas","05","Lee County","077",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lee County",,4356
"G0500790","2010","3","7","Arkansas","05","Lincoln County","079",,,,,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,,,"Lincoln County",,4860
"G0500810","2010","3","7","Arkansas","05","Little River County","081",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Little River County",,6460
"G0500830","2010","3","7","Arkansas","05","Logan County","083",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Logan County",,10108
"G0500850","2010","3","7","Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,,,"Lonoke County",,27239
"G0500870","2010","3","7","Arkansas","05","Madison County","087",,,,,,,,,,,,,,"22220","99999","999",,,,,,,,,,,,,,"Madison County",,7481
"G0500890","2010","3","7","Arkansas","05","Marion County","089",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marion County",,9354
"G0500910","2010","3","7","Arkansas","05","Miller County","091",,,,,,,,,,,,,,"45500","99999","999",,,,,,,,,,,,,,"Miller County",,19281
"G0500930","2010","3","7","Arkansas","05","Mississippi County","093",,,,,,,,,,,,,,"14180","99999","999",,,,,,,,,,,,,,"Mississippi County",,20459
