GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,MSA_CMSAA,PMSAA,NECMAA,NAME,FKI001
G2000490,2000,2,4,Kansas,20,Elk,49,9999,9999,9999,Elk County,1860
G2000510,2000,2,4,Kansas,20,Ellis,51,9999,9999,9999,Ellis County,12078
G2000530,2000,2,4,Kansas,20,Ellsworth,53,9999,9999,9999,Ellsworth County,3228
G2000550,2000,2,4,Kansas,20,Finney,55,9999,9999,9999,Finney County,13763
G2000570,2000,2,4,Kansas,20,Ford,57,9999,9999,9999,Ford County,11650
G2000590,2000,2,4,Kansas,20,Franklin,59,9999,9999,9999,Franklin County,10229
G2000610,2000,2,4,Kansas,20,Geary,61,9999,9999,9999,Geary County,11959
G2000630,2000,2,4,Kansas,20,Gove,63,9999,9999,9999,Gove County,1423
G2000650,2000,2,4,Kansas,20,Graham,65,9999,9999,9999,Graham County,1553
G2000670,2000,2,4,Kansas,20,Grant,67,9999,9999,9999,Grant County,3027
G2000690,2000,2,4,Kansas,20,Gray,69,9999,9999,9999,Gray County,2181
G2000710,2000,2,4,Kansas,20,Greeley,71,9999,9999,9999,Greeley County,712
G2000730,2000,2,4,Kansas,20,Greenwood,73,9999,9999,9999,Greenwood County,4273
G2000750,2000,2,4,Kansas,20,Hamilton,75,9999,9999,9999,Hamilton County,1211
G2000770,2000,2,4,Kansas,20,Harper,77,9999,9999,9999,Harper County,3270
G2000790,2000,2,4,Kansas,20,Harvey,79,9040,9999,9999,Harvey County,13378
G2000810,2000,2,4,Kansas,20,Haskell,81,9999,9999,9999,Haskell County,1639
G2000830,2000,2,4,Kansas,20,Hodgeman,83,9999,9999,9999,Hodgeman County,945
G2000850,2000,2,4,Kansas,20,Jackson,85,9999,9999,9999,Jackson County,5094
G2000870,2000,2,4,Kansas,20,Jefferson,87,9999,9999,9999,Jefferson County,7491
G2000890,2000,2,4,Kansas,20,Jewell,89,9999,9999,9999,Jewell County,2103
G2000910,2000,2,4,Kansas,20,Johnson,91,3760,9999,9999,Johnson County,181612
G2000930,2000,2,4,Kansas,20,Kearny,93,9999,9999,9999,Kearny County,1657
G2000950,2000,2,4,Kansas,20,Kingman,95,9999,9999,9999,Kingman County,3852
G2000970,2000,2,4,Kansas,20,Kiowa,97,9999,9999,9999,Kiowa County,1643
G2000990,2000,2,4,Kansas,20,Labette,99,9999,9999,9999,Labette County,10306
G2001010,2000,2,4,Kansas,20,Lane,101,9999,9999,9999,Lane County,1065
G2001030,2000,2,4,Kansas,20,Leavenworth,103,3760,9999,9999,Leavenworth County,24401
G2001050,2000,2,4,Kansas,20,Lincoln,105,9999,9999,9999,Lincoln County,1853
G2001070,2000,2,4,Kansas,20,Linn,107,9999,9999,9999,Linn County,4720
G2001090,2000,2,4,Kansas,20,Logan,109,9999,9999,9999,Logan County,1423
G2001110,2000,2,4,Kansas,20,Lyon,111,9999,9999,9999,Lyon County,14757
G2001130,2000,2,4,Kansas,20,McPherson,113,9999,9999,9999,McPherson County,11830
G2001150,2000,2,4,Kansas,20,Marion,115,9999,9999,9999,Marion County,5882
G2001170,2000,2,4,Kansas,20,Marshall,117,9999,9999,9999,Marshall County,4999
G2001190,2000,2,4,Kansas,20,Meade,119,9999,9999,9999,Meade County,1968
G2001210,2000,2,4,Kansas,20,Miami,121,3760,9999,9999,Miami County,10984
G2001230,2000,2,4,Kansas,20,Mitchell,123,9999,9999,9999,Mitchell County,3340
G2001250,2000,2,4,Kansas,20,Montgomery,125,9999,9999,9999,Montgomery County,17207
G2001270,2000,2,4,Kansas,20,Morris,127,9999,9999,9999,Morris County,3160
G2001290,2000,2,4,Kansas,20,Morton,129,9999,9999,9999,Morton County,1519
G2001310,2000,2,4,Kansas,20,Nemaha,131,9999,9999,9999,Nemaha County,4340
G2001330,2000,2,4,Kansas,20,Neosho,133,9999,9999,9999,Neosho County,7461
G2001350,2000,2,4,Kansas,20,Ness,135,9999,9999,9999,Ness County,1835
G2001370,2000,2,4,Kansas,20,Norton,137,9999,9999,9999,Norton County,2673
G2001390,2000,2,4,Kansas,20,Osage,139,9999,9999,9999,Osage County,7018
G2001410,2000,2,4,Kansas,20,Osborne,141,9999,9999,9999,Osborne County,2419
G2001430,2000,2,4,Kansas,20,Ottawa,143,9999,9999,9999,Ottawa County,2755
G2001450,2000,2,4,Kansas,20,Pawnee,145,9999,9999,9999,Pawnee County,3114
